Driver_Age,Vision_Quality,Driving_Speed,Weather,Accident,Severe_Hospitalization
58.9,73.9,78.6,Rain,0,0
37.3,76.1,66.2,Rain,0,0
56.9,61.8,62.0,Snow,1,1
28.3,100.0,58.9,Clear,0,0
50.2,88.1,70.8,Rain,1,1
53.7,83.9,68.4,Clear,0,0
21.5,100.0,79.2,Clear,0,0
40.6,96.1,68.8,Clear,0,0
27.0,100.0,73.5,Clear,1,1
22.2,87.2,83.3,Clear,0,0
84.3,34.5,53.2,Rain,1,1
39.6,78.4,74.5,Clear,0,0
72.3,61.9,60.4,Clear,1,1
35.1,91.2,84.4,Clear,0,0
63.7,86.7,68.5,Clear,0,0
68.9,72.1,61.6,Snow,1,1
57.9,89.0,79.2,Clear,0,0
49.6,93.0,71.6,Clear,0,0
45.6,100.0,82.0,Rain,0,0
41.4,88.1,76.7,Rain,0,0
80.3,37.0,36.7,Rain,0,0
73.7,62.4,70.8,Rain,1,1
82.7,32.4,55.5,Snow,1,1
26.3,100.0,76.1,Clear,0,0
67.0,74.2,63.2,Snow,0,0
80.9,38.6,51.4,Rain,1,0
30.1,91.4,77.4,Clear,0,0
22.5,100.0,72.3,Rain,0,0
67.7,73.6,72.9,Rain,0,1
56.5,79.5,63.5,Clear,1,0
74.4,72.0,53.6,Clear,0,0
27.4,89.4,67.0,Snow,1,0
71.3,66.4,61.4,Clear,1,0
31.5,99.8,76.5,Clear,0,0
29.0,82.6,79.5,Rain,0,0
29.0,99.4,65.3,Clear,0,0
72.6,54.6,42.2,Clear,1,1
62.6,88.8,68.4,Rain,0,0
53.0,78.3,80.8,Rain,0,0
42.0,95.9,60.1,Clear,0,0
76.8,61.8,72.4,Snow,1,1
44.3,96.4,72.3,Clear,0,0
72.7,64.7,58.0,Clear,1,1
47.4,86.4,64.3,Clear,0,0
43.3,85.3,56.1,Rain,0,0
49.0,99.4,77.5,Clear,0,0
38.2,86.3,64.2,Clear,0,1
68.1,65.5,52.2,Rain,0,0
51.7,91.9,76.4,Clear,0,0
33.6,87.4,54.9,Rain,0,0
78.3,41.7,40.7,Clear,1,1
43.7,78.2,69.5,Snow,0,0
54.4,81.6,68.4,Clear,1,1
78.7,47.6,60.6,Clear,1,1
59.8,85.2,60.3,Clear,0,0
25.8,100.0,102.2,Rain,0,0
81.0,47.1,52.5,Rain,1,1
60.1,81.7,60.9,Clear,0,0
40.4,89.4,63.1,Rain,0,0
27.3,100.0,77.5,Clear,0,0
71.2,76.5,64.9,Snow,1,1
59.5,84.4,75.4,Snow,1,0
53.7,82.0,50.8,Snow,1,0
77.9,42.3,53.6,Rain,1,1
70.8,55.6,63.3,Snow,1,1
28.2,100.0,81.8,Clear,0,0
38.9,96.3,71.7,Rain,1,0
34.6,98.0,78.8,Rain,0,0
67.8,73.3,52.0,Snow,1,1
20.2,100.0,94.7,Clear,0,0
56.2,80.9,74.7,Clear,0,0
69.1,79.0,46.1,Clear,0,0
76.7,52.7,45.8,Rain,0,0
40.9,86.0,60.4,Clear,0,0
73.0,66.7,64.8,Clear,1,1
25.4,100.0,64.2,Clear,0,0
74.7,60.7,54.0,Clear,0,0
26.5,97.2,81.1,Clear,0,0
44.6,89.0,68.7,Clear,0,0
71.4,84.9,61.2,Snow,1,1
28.0,100.0,65.3,Rain,0,0
33.4,99.6,79.8,Clear,0,0
66.4,78.8,54.5,Rain,0,1
66.2,86.3,57.5,Rain,0,0
61.0,87.0,65.2,Clear,0,1
64.5,81.6,62.4,Clear,0,0
54.4,83.0,65.7,Rain,0,0
34.9,92.6,65.7,Clear,0,0
41.2,65.4,67.7,Rain,0,0
30.2,96.8,75.2,Clear,1,1
78.9,44.0,41.9,Clear,0,1
57.1,97.1,59.7,Snow,1,1
44.9,89.4,73.1,Clear,0,0
49.0,78.1,54.8,Rain,1,0
81.5,41.3,66.2,Clear,1,1
28.3,87.5,88.6,Clear,0,0
57.3,88.1,51.8,Clear,0,1
51.9,88.8,80.0,Clear,0,0
59.0,91.3,62.2,Clear,0,0
19.2,93.2,83.7,Clear,0,0
76.4,54.0,51.7,Clear,0,0
80.5,33.2,64.2,Rain,1,1
55.9,90.5,68.9,Clear,1,1
64.7,85.5,53.2,Rain,0,0
79.8,49.6,43.6,Clear,1,1
65.4,80.3,46.4,Clear,0,0
28.2,99.2,77.8,Rain,0,0
56.6,97.4,70.3,Clear,0,0
58.6,81.5,70.2,Clear,0,0
46.4,89.7,67.5,Clear,0,0
67.3,66.9,48.7,Rain,0,0
80.6,36.8,48.1,Rain,1,1
80.0,46.0,66.7,Clear,1,1
48.2,96.7,63.1,Clear,0,0
25.6,94.9,78.4,Rain,0,0
84.0,33.8,42.8,Clear,1,1
74.2,55.9,60.9,Clear,1,0
26.4,92.4,72.1,Clear,0,0
79.7,48.3,65.8,Clear,1,1
76.3,42.1,64.4,Clear,1,1
52.8,96.3,61.1,Rain,0,0
57.6,78.8,62.9,Clear,1,1
44.7,95.1,63.8,Clear,0,0
21.7,88.4,64.3,Snow,0,0
40.5,96.4,62.4,Clear,0,0
71.8,70.3,60.5,Clear,0,0
18.3,100.0,83.1,Clear,0,0
40.3,83.1,72.5,Rain,0,0
44.7,91.3,66.3,Clear,0,0
54.0,76.1,74.9,Clear,0,0
79.6,44.1,56.0,Snow,1,0
41.2,99.0,77.8,Rain,0,0
41.2,97.1,53.0,Rain,0,0
67.4,75.5,30.0,Clear,0,0
48.3,80.1,70.7,Clear,0,0
33.0,99.1,59.7,Clear,0,0
48.3,88.0,65.8,Clear,0,0
27.4,77.7,73.2,Rain,1,0
29.8,100.0,91.1,Clear,0,0
51.4,86.4,70.6,Rain,0,1
46.1,98.4,70.4,Clear,0,0
79.3,38.1,63.9,Clear,0,1
42.3,64.9,74.0,Rain,1,0
56.9,86.7,59.9,Clear,1,1
60.4,85.4,73.8,Rain,0,0
18.9,86.1,68.6,Snow,1,0
62.5,74.4,65.4,Clear,0,0
29.9,100.0,59.8,Clear,0,0
82.4,37.0,56.3,Clear,1,1
28.0,100.0,77.9,Rain,0,0
45.8,83.7,85.7,Clear,1,0
23.7,81.0,62.1,Rain,0,0
84.8,32.3,47.3,Clear,1,1
51.6,84.4,74.8,Rain,0,0
57.9,80.8,67.4,Rain,0,0
22.5,97.3,80.0,Clear,1,0
68.2,75.5,50.3,Clear,0,0
32.1,93.2,68.5,Clear,0,0
78.2,39.5,68.4,Clear,1,1
31.7,98.4,74.0,Clear,0,0
30.8,79.3,78.6,Clear,0,0
20.4,82.6,77.9,Snow,0,0
49.6,93.3,55.5,Snow,0,0
55.8,88.9,74.2,Rain,0,0
22.4,97.8,83.3,Clear,0,0
70.0,58.1,82.3,Rain,1,1
48.4,82.2,57.7,Clear,0,0
53.1,83.8,74.2,Clear,0,0
47.5,75.4,55.1,Clear,1,1
44.9,83.3,70.8,Clear,0,0
55.5,90.2,74.8,Clear,0,0
28.4,100.0,55.1,Clear,0,0
30.2,91.8,73.1,Snow,0,0
75.7,61.5,51.3,Clear,0,0
81.4,26.6,47.6,Snow,1,1
43.0,95.3,73.8,Clear,0,0
36.1,86.3,84.0,Clear,0,0
61.1,85.2,61.4,Clear,0,0
45.4,87.1,71.1,Rain,0,0
19.7,100.0,80.5,Clear,0,0
28.5,88.8,75.8,Clear,1,0
66.0,83.9,49.9,Clear,0,1
62.1,80.1,73.4,Clear,1,1
19.8,98.0,82.2,Rain,0,0
32.9,92.6,78.0,Clear,0,0
33.5,87.0,65.7,Clear,0,0
63.0,81.9,57.4,Rain,1,1
19.3,99.0,77.7,Clear,0,0
25.0,99.1,61.9,Rain,0,0
71.6,66.0,41.7,Rain,1,1
30.0,100.0,69.2,Snow,0,0
61.7,89.9,67.7,Clear,0,1
34.0,85.2,67.1,Rain,1,0
24.7,100.0,67.1,Clear,0,0
34.3,84.0,65.3,Rain,0,0
66.4,82.6,56.1,Clear,0,1
75.3,61.4,53.5,Clear,1,1
73.6,45.2,79.4,Rain,0,1
44.6,90.1,79.9,Clear,0,0
62.8,78.3,72.3,Rain,1,0
31.7,88.4,86.2,Rain,0,0
37.6,100.0,62.2,Clear,0,0
78.1,44.6,43.8,Clear,1,1
18.9,93.2,68.6,Clear,0,0
23.7,98.3,91.1,Snow,0,0
31.9,99.9,69.0,Clear,0,0
19.8,98.2,66.8,Clear,0,0
30.2,100.0,70.8,Rain,0,0
57.1,88.6,62.0,Snow,0,0
46.2,71.3,71.4,Rain,0,0
77.8,46.2,58.6,Rain,0,1
72.8,58.1,49.8,Clear,0,0
40.9,94.7,77.7,Clear,1,1
35.4,72.0,66.7,Clear,0,0
43.4,100.0,68.3,Rain,0,1
57.5,88.4,71.0,Rain,1,0
36.0,94.0,66.4,Rain,0,0
59.8,92.7,57.6,Rain,0,0
45.4,100.0,74.9,Clear,0,0
55.0,92.2,56.6,Clear,0,0
47.2,95.9,64.5,Clear,0,0
37.7,93.2,77.7,Clear,1,1
81.5,40.4,75.1,Rain,1,1
69.2,67.4,65.6,Clear,1,1
27.4,89.6,81.0,Rain,1,1
76.2,48.9,62.0,Rain,1,1
50.7,76.1,56.2,Clear,0,0
77.9,49.5,57.2,Clear,1,1
71.6,51.9,58.3,Clear,1,1
46.5,90.1,71.8,Clear,0,0
19.5,99.1,80.6,Rain,1,0
36.0,94.0,76.6,Clear,0,0
54.3,81.3,62.4,Rain,0,0
60.4,100.0,63.6,Rain,0,0
35.3,100.0,60.8,Clear,0,0
27.3,86.3,73.1,Rain,0,0
73.9,61.6,71.5,Rain,0,0
84.0,30.8,56.8,Rain,1,1
53.2,77.8,65.7,Clear,0,0
29.5,84.7,94.4,Clear,0,0
36.2,96.2,59.1,Clear,0,0
19.2,94.1,68.4,Clear,0,0
79.3,54.7,72.6,Rain,1,1
25.9,100.0,77.3,Rain,0,0
56.6,95.5,62.1,Snow,0,0
36.4,85.8,60.7,Clear,0,0
55.1,89.0,69.6,Clear,0,0
61.6,87.6,68.0,Rain,0,1
73.6,56.8,46.8,Clear,0,1
31.8,88.3,73.1,Clear,0,0
18.7,100.0,76.4,Clear,0,0
27.2,98.2,78.9,Clear,0,0
78.3,54.4,44.7,Rain,0,0
76.6,46.9,69.1,Clear,1,1
58.0,74.2,73.1,Rain,0,1
58.2,79.4,60.3,Rain,1,1
62.6,81.2,60.0,Clear,0,0
29.7,86.8,73.9,Snow,1,0
79.3,46.9,47.7,Clear,1,1
46.1,75.3,64.3,Snow,1,1
43.7,80.8,67.0,Clear,0,0
52.8,91.5,82.2,Rain,0,0
21.1,100.0,88.2,Clear,0,0
29.1,92.4,84.9,Rain,0,0
67.4,67.2,63.9,Rain,0,0
23.5,89.6,66.6,Clear,0,0
58.4,80.8,63.4,Snow,0,0
34.4,98.6,83.1,Clear,0,0
44.1,97.0,57.0,Clear,0,0
37.3,88.3,78.6,Rain,1,0
41.8,81.2,93.7,Rain,1,0
66.2,80.5,71.3,Clear,0,1
37.9,85.4,86.2,Clear,0,0
55.9,80.7,67.0,Snow,0,0
49.9,97.8,76.9,Rain,0,0
62.5,88.8,55.0,Clear,0,0
80.8,44.6,62.9,Clear,0,1
67.1,66.0,66.9,Snow,1,0
32.4,95.9,77.1,Rain,0,0
20.1,100.0,92.3,Snow,0,0
35.6,90.0,67.6,Clear,0,0
57.9,94.9,62.2,Rain,0,0
21.4,100.0,79.6,Rain,0,0
51.3,100.0,56.4,Clear,0,0
58.0,86.4,66.3,Clear,0,0
40.4,95.7,53.9,Rain,1,1
69.7,81.4,69.8,Clear,0,0
25.1,100.0,77.6,Rain,0,0
23.0,94.0,72.8,Rain,0,0
66.8,73.3,52.1,Rain,0,0
51.2,88.6,64.4,Rain,0,0
64.1,71.2,68.4,Clear,0,1
47.1,87.2,73.8,Clear,0,0
34.5,100.0,66.3,Rain,1,1
72.9,44.8,49.6,Clear,1,1
71.6,77.7,65.1,Clear,0,1
64.5,90.4,54.2,Clear,0,0
36.2,89.0,73.3,Clear,0,0
57.5,88.5,65.4,Rain,0,0
42.2,90.4,73.4,Clear,1,1
24.1,100.0,86.1,Clear,0,0
79.5,54.4,42.8,Snow,1,1
27.2,85.1,57.2,Rain,0,0
81.7,45.9,48.9,Rain,1,1
47.9,86.4,86.1,Rain,1,0
30.4,95.7,95.3,Rain,0,0
54.3,79.7,83.8,Rain,0,0
76.5,67.6,54.7,Clear,1,1
67.1,84.6,42.6,Snow,0,0
72.0,58.4,35.0,Clear,0,1
62.1,71.7,56.2,Snow,1,1
64.4,78.4,59.5,Clear,0,1
74.9,60.9,70.2,Clear,0,1
34.7,95.2,82.0,Clear,0,0
50.8,96.9,69.2,Clear,0,0
32.8,100.0,65.2,Rain,0,0
84.2,42.9,43.9,Snow,1,0
81.3,44.8,57.2,Snow,1,1
20.6,87.8,85.9,Snow,1,0
65.3,79.0,65.0,Clear,0,0
80.0,53.7,44.9,Snow,0,0
30.1,94.7,81.7,Clear,0,0
56.1,88.8,69.0,Rain,1,1
79.3,44.2,44.8,Clear,1,0
20.3,90.9,71.2,Clear,0,0
64.7,80.3,68.2,Snow,0,0
37.9,94.5,69.7,Snow,0,0
79.9,40.1,71.1,Rain,1,0
83.1,36.0,59.0,Rain,1,1
81.3,34.6,49.8,Clear,0,0
49.8,96.2,67.2,Rain,1,1
75.8,53.0,57.5,Rain,1,1
74.6,69.8,50.1,Clear,0,0
39.4,100.0,62.3,Clear,0,0
73.5,60.1,64.8,Clear,1,1
20.5,90.9,87.5,Rain,0,0
58.0,67.3,70.1,Clear,0,0
33.4,82.1,89.0,Clear,0,0
26.1,85.8,71.4,Clear,0,0
23.2,100.0,94.7,Clear,0,0
64.7,82.3,52.3,Rain,0,0
40.8,94.0,60.8,Rain,0,0
66.6,59.7,43.0,Clear,1,1
22.4,88.7,73.8,Clear,0,0
39.1,98.6,66.5,Clear,0,0
54.1,87.8,70.8,Rain,0,0
71.0,65.7,61.2,Clear,1,0
39.4,96.0,59.5,Clear,0,1
59.9,96.3,59.3,Rain,0,0
77.4,49.8,52.5,Clear,0,0
59.3,84.0,45.7,Rain,0,0
33.6,95.3,63.9,Clear,1,1
19.6,100.0,71.6,Rain,0,0
76.3,37.3,71.0,Clear,0,0
19.4,100.0,81.3,Clear,1,0
76.6,52.4,63.2,Clear,1,1
53.4,90.4,50.8,Rain,1,0
80.9,37.7,66.8,Snow,1,1
71.5,65.2,71.6,Clear,0,1
84.9,39.2,33.3,Rain,1,1
41.5,100.0,63.5,Rain,1,0
69.4,77.1,64.4,Snow,0,0
44.9,82.4,75.7,Rain,0,0
50.2,83.7,60.4,Clear,0,0
60.0,79.6,60.1,Rain,1,1
76.5,39.1,50.6,Clear,1,1
83.9,33.1,54.7,Clear,1,0
69.5,76.3,71.4,Clear,0,0
46.0,78.6,61.1,Snow,0,0
46.2,97.1,78.7,Snow,0,0
67.4,79.3,52.4,Rain,0,0
34.0,87.7,65.1,Snow,0,0
25.4,95.9,85.2,Rain,1,1
41.8,100.0,79.7,Clear,0,0
37.2,98.2,80.8,Clear,0,0
37.9,92.1,58.9,Clear,0,0
33.7,91.8,69.1,Clear,0,0
20.8,99.5,87.1,Clear,0,0
19.2,95.4,79.9,Clear,0,0
84.2,18.3,42.8,Rain,1,1
46.7,100.0,73.1,Rain,0,0
43.7,90.9,62.6,Rain,0,0
63.5,85.0,79.7,Snow,1,1
32.6,93.7,89.6,Clear,0,0
81.6,35.4,60.6,Rain,1,1
70.7,66.1,72.5,Clear,1,1
24.0,84.8,78.3,Clear,0,0
46.0,100.0,76.5,Snow,0,0
76.9,42.8,71.2,Clear,1,1
81.3,33.8,57.1,Clear,1,1
49.3,84.0,64.9,Clear,0,0
59.1,93.9,46.5,Rain,0,0
29.2,95.6,74.7,Snow,0,0
84.4,24.7,61.7,Clear,1,1
33.5,100.0,83.2,Rain,0,0
81.2,48.3,59.8,Clear,1,1
61.5,86.9,57.2,Clear,0,0
58.7,89.4,43.9,Clear,0,0
52.4,100.0,61.3,Rain,0,0
33.5,100.0,70.8,Clear,0,0
29.8,89.8,72.1,Clear,0,0
32.8,100.0,80.3,Clear,0,1
30.5,98.1,94.9,Clear,0,0
70.2,72.6,60.3,Rain,0,0
41.5,77.1,68.4,Clear,0,0
21.9,97.1,75.9,Clear,0,0
82.9,31.7,55.3,Clear,1,1
77.2,58.5,48.0,Clear,0,0
80.2,53.4,56.3,Rain,1,1
84.7,17.4,57.8,Clear,1,1
29.7,95.2,77.4,Clear,0,0
44.5,98.4,74.0,Clear,1,0
68.8,70.6,64.0,Clear,0,1
64.6,87.2,43.6,Rain,0,0
28.3,98.7,82.2,Rain,0,0
72.7,65.5,51.4,Rain,1,1
33.0,91.8,63.0,Clear,0,0
33.0,84.3,63.0,Rain,1,0
54.0,76.6,69.9,Rain,0,0
57.7,89.8,61.9,Clear,0,1
56.9,84.6,47.6,Rain,0,0
24.1,96.4,82.3,Rain,0,0
76.8,49.5,42.1,Clear,1,1
35.8,90.4,74.3,Clear,0,0
26.7,100.0,78.9,Rain,0,0
77.5,48.4,65.0,Clear,1,1
82.0,29.6,72.2,Rain,1,1
75.8,61.3,43.2,Rain,0,1
72.2,62.2,57.8,Rain,1,1
61.9,82.7,59.7,Clear,0,0
54.9,98.1,69.6,Clear,0,0
23.8,97.5,79.8,Clear,0,0
45.4,91.4,65.5,Rain,0,0
43.0,80.6,65.6,Rain,0,0
35.4,91.3,61.9,Rain,1,0
66.5,82.6,70.5,Clear,0,0
51.2,74.3,71.3,Snow,1,0
23.4,99.4,87.0,Snow,0,0
32.8,94.9,71.0,Clear,0,0
63.8,82.0,55.1,Clear,0,0
23.1,100.0,67.2,Rain,0,0
75.0,59.8,60.8,Rain,1,1
51.2,98.6,56.3,Snow,0,0
50.2,79.2,85.6,Clear,0,0
57.7,85.2,51.0,Clear,0,0
73.3,62.1,60.6,Rain,1,1
41.3,82.1,86.3,Rain,0,1
63.4,89.5,67.8,Rain,0,0
55.9,100.0,66.6,Snow,0,0
35.9,92.7,63.2,Clear,0,0
76.9,56.8,42.6,Rain,1,1
71.4,66.5,66.3,Clear,0,1
62.1,76.6,77.4,Clear,0,0
75.0,42.7,52.8,Clear,1,0
76.1,48.9,45.4,Rain,1,1
65.5,69.0,36.4,Snow,1,1
74.1,73.0,47.8,Clear,0,1
64.7,80.4,60.2,Clear,0,1
63.6,79.0,77.8,Rain,0,1
59.4,90.5,70.2,Rain,0,0
68.4,64.0,62.9,Snow,1,1
28.6,89.6,71.7,Clear,0,0
77.0,52.9,50.6,Clear,0,1
76.4,62.0,70.7,Clear,1,1
20.0,100.0,81.2,Clear,1,0
73.3,63.2,36.8,Clear,0,0
26.6,97.2,69.8,Clear,0,0
40.5,94.2,62.4,Clear,0,0
67.8,76.1,54.6,Clear,0,0
28.8,87.5,81.3,Snow,0,0
72.8,62.8,57.0,Clear,1,0
73.8,51.6,56.9,Clear,0,0
52.0,87.0,79.5,Rain,1,1
18.4,96.0,72.9,Rain,0,0
37.2,100.0,90.9,Rain,0,0
59.3,83.1,56.8,Rain,0,0
83.7,25.0,54.6,Rain,1,1
60.3,82.0,60.3,Rain,1,1
35.4,97.2,74.3,Rain,1,0
60.5,96.4,67.5,Rain,0,0
54.2,80.8,69.9,Clear,0,0
70.2,55.9,51.6,Clear,1,1
25.2,100.0,65.9,Rain,0,0
69.0,60.6,84.6,Clear,1,1
54.3,82.0,60.7,Snow,0,0
82.5,37.1,61.2,Clear,1,1
40.9,90.3,54.8,Clear,0,0
60.4,88.6,60.2,Snow,1,1
80.4,38.7,53.7,Clear,1,1
24.9,95.1,82.0,Snow,1,0
80.8,43.2,30.0,Snow,1,1
64.1,82.8,63.2,Rain,1,1
22.5,99.0,66.7,Clear,0,0
38.2,95.4,75.2,Rain,0,0
65.4,86.9,50.7,Rain,0,0
22.5,100.0,69.6,Rain,0,0
57.0,88.0,61.7,Rain,0,0
41.2,78.1,60.2,Snow,1,0
59.6,83.8,58.6,Rain,0,0
21.1,100.0,66.8,Snow,0,0
76.4,59.7,38.3,Clear,0,0
83.2,31.9,64.1,Clear,1,1
82.9,32.9,41.1,Clear,0,0
68.2,68.9,58.1,Clear,0,0
26.7,100.0,84.0,Rain,1,0
68.8,80.3,53.5,Clear,0,0
19.6,96.1,71.1,Snow,1,0
19.5,100.0,81.7,Clear,0,0
39.7,92.3,82.5,Clear,0,0
50.7,85.9,55.2,Clear,0,0
69.6,68.4,57.9,Clear,1,1
63.8,87.7,44.4,Clear,0,0
47.9,90.7,64.1,Clear,0,0
36.3,100.0,73.0,Rain,0,0
84.8,26.8,44.7,Clear,1,1
46.6,92.7,64.0,Clear,0,0
48.2,83.7,53.8,Rain,0,1
29.0,88.7,76.4,Clear,0,0
71.3,66.1,69.3,Clear,0,1
64.5,82.5,50.4,Clear,0,1
32.8,100.0,67.9,Clear,0,0
23.5,96.3,82.8,Rain,0,0
63.6,72.7,73.9,Clear,0,0
61.9,84.6,47.5,Rain,0,0
36.3,76.1,71.0,Snow,0,0
81.7,40.4,57.3,Clear,1,1
28.1,96.1,74.9,Snow,0,0
47.0,94.8,43.6,Clear,0,0
81.2,50.1,59.7,Clear,1,1
46.1,84.7,83.9,Clear,0,0
60.8,81.7,64.1,Clear,0,0
44.6,83.2,59.0,Rain,0,0
36.4,83.6,67.5,Clear,1,1
83.9,38.3,71.3,Rain,1,1
45.4,78.8,78.1,Rain,1,1
77.9,46.9,62.4,Clear,1,1
33.4,85.9,77.4,Rain,0,0
32.3,98.7,67.7,Snow,0,0
20.1,100.0,77.2,Clear,0,0
61.7,72.1,61.8,Clear,1,1
42.7,75.3,75.6,Clear,0,0
75.9,54.0,71.9,Clear,1,1
49.7,87.4,78.5,Clear,0,0
82.9,40.1,39.9,Clear,1,1
30.4,91.5,77.3,Rain,0,0
76.2,52.7,64.1,Rain,1,1
70.0,72.1,65.4,Clear,0,0
69.7,78.4,53.0,Clear,0,0
74.6,42.5,86.5,Clear,0,1
69.0,68.7,46.8,Clear,0,0
60.0,84.9,52.4,Clear,1,1
26.8,89.1,78.8,Snow,0,0
20.2,100.0,100.3,Clear,0,0
79.7,40.8,47.0,Clear,1,1
59.3,83.1,60.8,Clear,0,0
71.4,70.4,69.4,Rain,0,1
50.3,82.4,66.9,Rain,0,0
25.9,82.1,73.5,Clear,0,0
26.4,93.2,82.3,Clear,0,0
63.9,89.9,64.4,Clear,1,1
46.8,85.8,78.8,Clear,1,1
31.4,87.9,87.5,Snow,0,0
50.9,94.2,69.9,Rain,0,0
22.3,95.6,81.2,Rain,0,0
57.0,80.3,66.5,Clear,0,0
36.0,94.0,77.7,Clear,0,0
71.4,71.9,59.2,Rain,0,0
38.8,100.0,71.7,Clear,0,0
48.5,94.4,79.8,Snow,0,0
18.8,100.0,94.8,Clear,0,0
22.9,94.0,63.0,Clear,0,0
44.3,81.3,69.6,Rain,0,0
50.2,87.6,60.3,Clear,0,0
58.2,84.8,60.8,Clear,0,0
37.5,83.6,76.2,Clear,0,0
64.6,80.0,68.1,Rain,0,0
75.6,58.9,55.8,Clear,0,0
70.3,71.5,40.0,Clear,0,1
20.7,100.0,69.3,Rain,0,0
50.2,89.5,76.1,Clear,0,0
25.0,93.1,49.8,Snow,0,0
34.2,89.4,85.4,Clear,0,0
84.1,25.8,58.8,Rain,1,1
27.5,100.0,89.3,Clear,0,0
51.4,86.7,64.6,Rain,0,0
59.4,81.6,42.8,Rain,0,0
65.1,73.6,65.5,Snow,1,1
55.5,100.0,77.7,Clear,0,0
18.7,91.2,89.0,Clear,0,0
39.9,87.8,64.6,Rain,0,0
52.7,89.5,67.0,Clear,1,1
23.9,100.0,72.3,Clear,0,0
41.5,98.3,62.4,Snow,0,0
20.2,100.0,88.7,Clear,0,0
23.3,100.0,65.9,Snow,0,0
44.6,80.9,60.4,Clear,0,0
26.9,94.4,65.4,Rain,0,0
56.0,87.3,49.9,Clear,0,0
64.2,98.1,63.0,Clear,0,1
71.6,54.1,70.2,Snow,0,0
31.4,100.0,72.8,Clear,0,0
29.2,97.0,60.5,Rain,0,0
25.0,100.0,85.6,Rain,0,0
60.6,82.1,79.8,Clear,0,0
65.3,73.7,54.6,Snow,0,0
20.1,100.0,74.4,Clear,0,0
80.7,48.7,60.1,Rain,1,1
21.5,100.0,94.8,Clear,0,0
54.3,85.4,60.3,Rain,0,0
65.5,75.2,47.7,Rain,0,0
76.4,41.5,63.0,Clear,1,1
65.8,85.7,68.9,Rain,0,0
71.7,68.5,58.6,Clear,0,1
40.7,83.2,65.3,Clear,1,0
72.6,58.7,68.1,Clear,1,1
23.4,94.1,83.1,Clear,0,0
78.0,38.2,48.3,Clear,1,0
54.7,78.8,65.8,Clear,0,0
72.8,53.5,44.6,Clear,1,0
48.3,84.6,74.7,Clear,1,1
61.1,76.8,60.1,Clear,0,0
53.3,72.9,61.5,Rain,0,0
67.0,92.5,60.1,Rain,0,1
23.5,100.0,78.2,Clear,0,0
22.0,92.2,87.3,Rain,1,0
34.6,95.6,79.3,Rain,0,0
28.7,99.1,74.2,Rain,1,0
76.4,63.3,64.3,Clear,1,1
32.7,87.6,78.1,Clear,1,1
83.4,45.8,49.6,Rain,1,1
40.6,86.6,69.7,Rain,0,0
30.2,84.4,73.6,Clear,0,0
70.9,72.8,63.9,Clear,0,0
62.1,92.7,58.7,Rain,0,0
51.4,100.0,62.7,Rain,0,0
55.2,75.5,84.8,Rain,1,0
66.2,83.9,70.1,Clear,0,0
33.3,90.6,66.3,Clear,0,0
84.8,40.1,59.0,Clear,1,1
83.3,25.5,55.1,Clear,1,1
61.6,72.5,66.5,Clear,0,1
31.4,88.4,76.0,Rain,0,0
63.6,82.4,73.7,Clear,1,1
22.8,92.9,81.5,Rain,0,0
20.1,100.0,78.6,Clear,0,0
35.3,100.0,83.5,Clear,0,0
49.0,92.4,69.9,Clear,0,0
76.2,67.3,57.9,Clear,0,0
66.7,80.4,63.7,Rain,0,1
67.8,64.8,59.2,Clear,1,1
46.5,99.5,68.7,Clear,0,0
41.2,85.9,64.9,Clear,0,0
42.9,97.3,62.5,Clear,0,0
84.2,47.8,43.5,Rain,0,0
20.7,100.0,65.0,Clear,0,0
76.1,42.6,48.0,Rain,1,1
56.8,77.1,62.7,Rain,0,0
47.4,98.8,69.3,Clear,0,0
66.6,76.0,57.9,Clear,0,0
50.6,87.6,43.4,Rain,0,1
76.5,59.6,72.3,Rain,0,1
78.3,54.7,66.7,Clear,1,1
46.3,90.9,73.2,Clear,0,0
36.5,90.9,91.7,Clear,1,1
57.7,81.6,54.4,Clear,0,0
79.1,54.2,74.4,Clear,1,1
32.1,98.8,64.7,Clear,0,0
59.7,81.2,65.7,Clear,0,0
60.3,91.7,50.3,Clear,0,0
67.1,75.1,60.5,Clear,0,0
26.8,89.7,80.3,Rain,0,0
66.0,72.8,59.3,Clear,1,1
78.9,40.0,62.8,Snow,1,1
30.0,93.0,76.2,Clear,0,0
33.9,100.0,68.4,Rain,0,0
83.1,31.4,48.3,Clear,0,1
30.1,96.7,83.3,Rain,0,0
75.2,51.4,50.6,Clear,1,1
51.0,84.7,76.0,Clear,1,1
34.6,81.3,85.6,Snow,0,0
76.3,52.2,40.0,Clear,1,1
47.8,86.5,79.4,Snow,0,0
52.5,90.5,86.8,Clear,0,0
42.1,92.2,72.9,Clear,0,0
57.7,74.5,70.1,Clear,0,0
29.0,100.0,86.0,Rain,0,0
44.2,91.2,66.8,Clear,0,0
83.0,39.7,55.8,Snow,1,1
35.3,93.0,59.9,Clear,1,0
62.0,78.3,63.8,Rain,0,0
39.8,93.0,76.3,Clear,0,0
69.8,73.4,64.4,Clear,1,1
26.8,82.5,87.1,Clear,0,0
83.0,33.7,46.3,Clear,1,1
48.4,85.8,62.5,Clear,0,0
33.8,95.7,92.6,Clear,0,0
22.9,100.0,76.5,Clear,0,0
