Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Rainy,Rural Road,Afternoon,1.0,80.0,4.0,0.0,None,Wet,Car,29.0,9.0,Daylight,0.0
Rainy,City Road,Morning,1.0,50.0,3.0,0.0,None,Wet,Car,51.0,33.0,Daylight,0.0
Clear,City Road,Evening,2.0,60.0,7.0,0.0,None,Dry,Bus,34.0,16.0,Daylight,0.0
Clear,City Road,Morning,1.0,30.0,2.0,0.0,None,Dry,Truck,47.0,27.0,Daylight,0.0
Stormy,Rural Road,Afternoon,1.0,60.0,3.0,0.0,None,Wet,Car,28.0,21.0,Daylight,0.0
Stormy,City Road,Evening,1.0,50.0,3.0,0.0,Low,Wet,Car,33.0,16.0,Artificial Light,1.0
Snowy,Rural Road,Evening,1.0,80.0,5.0,0.0,Moderate,Icy,Car,32.0,10.0,Artificial Light,1.0
Clear,Mountain Road,Morning,1.0,60.0,2.0,0.0,None,Dry,Truck,28.0,6.0,Daylight,0.0
Rainy,Rural Road,Morning,1.0,80.0,4.0,0.0,None,Wet,Motorcycle,42.0,30.0,Daylight,0.0
Clear,City Road,Night,1.0,50.0,2.0,0.0,Low,Under Construction,Car,75.0,57.0,Artificial Light,1.0
Stormy,Highway,Afternoon,0.0,120.0,3.0,0.0,None,Under Construction,Car,39.0,11.0,Daylight,0.0
Snowy,Highway,Morning,2.0,80.0,7.0,0.0,Low,Icy,Motorcycle,30.0,8.0,Daylight,1.0
Clear,Mountain Road,Morning,0.0,50.0,1.0,0.0,None,Dry,Truck,64.0,37.0,Daylight,0.0
Clear,Rural Road,Night,1.0,60.0,2.0,0.0,None,Under Construction,Motorcycle,30.0,11.0,No Light,0.0
Clear,Highway,Night,2.0,100.0,6.0,0.0,Moderate,Dry,Motorcycle,52.0,37.0,Artificial Light,1.0
Clear,City Road,Afternoon,1.0,60.0,2.0,0.0,None,Dry,Truck,74.0,54.0,Daylight,0.0
Snowy,City Road,Morning,1.0,50.0,3.0,0.0,None,Icy,Car,72.0,58.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,50.0,3.0,0.0,None,Wet,Motorcycle,73.0,46.0,Artificial Light,0.0
Snowy,City Road,Evening,2.0,60.0,6.0,0.0,None,Wet,Motorcycle,55.0,41.0,Daylight,0.0
Stormy,Rural Road,Night,0.0,80.0,2.0,0.0,None,Wet,Truck,29.0,11.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,80.0,4.0,0.0,None,Dry,Car,56.0,38.0,Daylight,0.0
Snowy,Rural Road,Night,1.0,80.0,3.0,0.0,None,Icy,Car,52.0,35.0,Artificial Light,0.0
Rainy,Mountain Road,Morning,1.0,60.0,2.0,0.0,Low,Wet,Truck,23.0,1.0,Daylight,1.0
Rainy,City Road,Night,2.0,50.0,5.0,0.0,None,Wet,Car,25.0,11.0,Artificial Light,0.0
Rainy,Highway,Evening,2.0,120.0,6.0,0.0,High,Wet,Motorcycle,57.0,40.0,Artificial Light,1.0
Foggy,Highway,Evening,2.0,120.0,8.0,0.0,None,Dry,Bus,21.0,0.0,Artificial Light,0.0
Snowy,Highway,Afternoon,1.0,120.0,5.0,0.0,None,Icy,Car,30.0,12.0,Daylight,0.0
Foggy,City Road,Morning,1.0,50.0,2.0,0.0,None,Wet,Truck,71.0,46.0,Daylight,0.0
Clear,City Road,Morning,1.0,50.0,4.0,0.0,None,Dry,Car,34.0,16.0,Daylight,0.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Motorcycle,43.0,17.0,Daylight,0.0
Clear,Rural Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Car,24.0,10.0,Daylight,0.0
Rainy,Rural Road,Morning,2.0,60.0,9.0,0.0,None,Dry,Car,36.0,27.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Car,32.0,13.0,Daylight,0.0
Rainy,Highway,Evening,0.0,120.0,2.0,0.0,None,Under Construction,Bus,28.0,10.0,Artificial Light,0.0
Foggy,Highway,Morning,1.0,100.0,5.0,0.0,Moderate,Wet,Motorcycle,51.0,26.0,Daylight,1.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Under Construction,Truck,37.0,22.0,Daylight,0.0
Clear,Highway,Afternoon,2.0,100.0,6.0,0.0,High,Dry,Car,54.0,38.0,Daylight,1.0
Foggy,City Road,Afternoon,1.0,60.0,2.0,0.0,None,Wet,Car,50.0,29.0,Daylight,0.0
Foggy,City Road,Evening,2.0,60.0,8.0,0.0,None,Wet,Motorcycle,34.0,16.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,30.0,3.0,0.0,None,Dry,Truck,37.0,22.0,Daylight,0.0
Rainy,Rural Road,Morning,1.0,60.0,2.0,0.0,None,Under Construction,Car,54.0,33.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,Low,Wet,Bus,22.0,0.0,Daylight,1.0
Foggy,Highway,Morning,2.0,80.0,8.0,0.0,Moderate,Wet,Car,52.0,23.0,Daylight,1.0
Rainy,Highway,Afternoon,0.0,120.0,2.0,0.0,None,Dry,Car,28.0,14.0,Daylight,0.0
Rainy,Highway,Evening,1.0,100.0,6.0,0.0,Low,Wet,Car,69.0,51.0,Artificial Light,1.0
Stormy,Rural Road,Afternoon,1.0,60.0,3.0,1.0,None,Wet,Car,25.0,10.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,30.0,4.0,0.0,None,Dry,Truck,20.0,3.0,Daylight,0.0
Stormy,City Road,Evening,1.0,30.0,6.0,0.0,None,Under Construction,Car,26.0,4.0,Daylight,0.0
Clear,Highway,Morning,1.0,80.0,3.0,0.0,None,Dry,Car,32.0,9.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,60.0,6.0,0.0,None,Dry,Car,27.0,10.0,Artificial Light,0.0
Clear,Rural Road,Night,1.0,80.0,3.0,0.0,None,Dry,Truck,27.0,6.0,No Light,0.0
Clear,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Motorcycle,35.0,15.0,Daylight,0.0
Clear,City Road,Night,0.0,50.0,1.0,0.0,None,Dry,Car,22.0,4.0,Artificial Light,0.0
Rainy,City Road,Evening,1.0,60.0,5.0,0.0,None,Wet,Car,30.0,10.0,Artificial Light,0.0
Foggy,Highway,Afternoon,1.0,100.0,3.0,0.0,Low,Wet,Bus,30.0,5.0,Daylight,1.0
Foggy,City Road,Afternoon,1.0,50.0,4.0,0.0,None,Dry,Car,58.0,38.0,Daylight,0.0
Foggy,Mountain Road,Afternoon,1.0,60.0,6.0,0.0,None,Wet,Car,59.0,39.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Car,59.0,33.0,Artificial Light,0.0
Rainy,Rural Road,Afternoon,0.0,80.0,1.0,0.0,None,Wet,Truck,69.0,45.0,Daylight,0.0
Foggy,City Road,Afternoon,0.0,50.0,3.0,0.0,None,Wet,Car,62.0,49.0,Daylight,0.0
Foggy,City Road,Afternoon,1.0,50.0,4.0,0.0,None,Dry,Bus,70.0,53.0,Daylight,0.0
Rainy,Rural Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Car,51.0,29.0,Artificial Light,0.0
Foggy,City Road,Morning,2.0,50.0,7.0,0.0,None,Wet,Car,25.0,5.0,Daylight,0.0
Rainy,City Road,Night,1.0,50.0,2.0,1.0,None,Wet,Car,24.0,2.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,50.0,9.0,0.0,None,Dry,Car,22.0,3.0,Artificial Light,0.0
Foggy,City Road,Afternoon,1.0,30.0,6.0,0.0,Moderate,Wet,Car,41.0,24.0,Daylight,1.0
Rainy,City Road,Evening,2.0,60.0,6.0,0.0,Moderate,Wet,Car,57.0,33.0,Artificial Light,1.0
Rainy,Mountain Road,Afternoon,0.0,60.0,1.0,0.0,None,Wet,Truck,35.0,10.0,Daylight,0.0
Rainy,City Road,Night,1.0,50.0,3.0,0.0,None,Wet,Car,66.0,47.0,Artificial Light,0.0
Rainy,Mountain Road,Morning,1.0,50.0,2.0,0.0,None,Wet,Car,42.0,19.0,Daylight,0.0
Snowy,City Road,Afternoon,0.0,30.0,4.0,0.0,None,Dry,Car,69.0,55.0,Daylight,0.0
Foggy,Rural Road,Evening,1.0,80.0,5.0,0.0,Low,Wet,Car,24.0,11.0,No Light,1.0
Rainy,City Road,Afternoon,0.0,30.0,2.0,1.0,Low,Wet,Truck,57.0,42.0,Daylight,1.0
Foggy,Rural Road,Night,0.0,60.0,1.0,0.0,None,Wet,Bus,36.0,24.0,No Light,0.0
Foggy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Car,35.0,13.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Car,35.0,16.0,Daylight,0.0
Clear,City Road,Morning,1.0,50.0,2.0,0.0,None,Dry,Car,42.0,29.0,Daylight,0.0
Foggy,City Road,Evening,2.0,50.0,6.0,0.0,None,Wet,Car,25.0,7.0,Daylight,0.0
Clear,Highway,Morning,1.0,120.0,5.0,0.0,None,Under Construction,Car,49.0,36.0,Daylight,0.0
Clear,Mountain Road,Morning,1.0,30.0,4.0,0.0,None,Wet,Car,25.0,8.0,Daylight,0.0
Snowy,City Road,Morning,2.0,50.0,6.0,0.0,Low,Dry,Car,67.0,50.0,Daylight,1.0
Rainy,City Road,Afternoon,2.0,50.0,5.0,0.0,None,Wet,Car,49.0,29.0,Daylight,0.0
Clear,Highway,Morning,2.0,100.0,6.0,0.0,None,Wet,Car,39.0,14.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Truck,47.0,35.0,Daylight,0.0
Clear,Highway,Evening,1.0,120.0,4.0,0.0,None,Dry,Car,40.0,26.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Truck,26.0,7.0,Artificial Light,0.0
Snowy,Rural Road,Night,1.0,60.0,3.0,0.0,None,Icy,Car,75.0,58.0,No Light,0.0
Snowy,City Road,Morning,1.0,50.0,3.0,0.0,None,Icy,Motorcycle,69.0,43.0,Daylight,0.0
Rainy,Highway,Evening,2.0,120.0,6.0,0.0,Moderate,Dry,Car,54.0,29.0,Artificial Light,1.0
Rainy,Highway,Morning,1.0,80.0,4.0,0.0,Low,Wet,Motorcycle,38.0,20.0,Daylight,1.0
Clear,City Road,Evening,2.0,50.0,7.0,0.0,Low,Dry,Car,59.0,36.0,Artificial Light,1.0
Clear,City Road,Evening,2.0,60.0,9.0,0.0,Low,Dry,Car,33.0,16.0,Daylight,1.0
Foggy,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Truck,49.0,33.0,Daylight,0.0
Clear,Mountain Road,Afternoon,0.0,50.0,3.0,0.0,None,Wet,Motorcycle,67.0,49.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,50.0,3.0,0.0,None,Dry,Car,42.0,20.0,Daylight,0.0
Rainy,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Wet,Car,52.0,27.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,80.0,3.0,0.0,None,Dry,Car,43.0,24.0,Daylight,0.0
Stormy,Highway,Morning,2.0,100.0,6.0,0.0,Low,Wet,Car,69.0,50.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,Low,Dry,Car,57.0,39.0,Daylight,1.0
Snowy,Rural Road,Morning,1.0,50.0,3.0,0.0,None,Dry,Car,63.0,41.0,Daylight,0.0
Rainy,City Road,Evening,2.0,30.0,6.0,0.0,None,Wet,Car,30.0,12.0,Daylight,0.0
Clear,Rural Road,Morning,0.0,60.0,3.0,0.0,None,Dry,Truck,25.0,5.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,80.0,4.0,0.0,None,Wet,Motorcycle,74.0,55.0,Daylight,0.0
Clear,City Road,Morning,1.0,60.0,2.0,0.0,None,Dry,Car,67.0,50.0,Daylight,0.0
Rainy,City Road,Morning,1.0,30.0,3.0,0.0,None,Wet,Car,43.0,23.0,Daylight,0.0
Stormy,Highway,Morning,0.0,100.0,2.0,0.0,None,Wet,Car,23.0,10.0,Daylight,0.0
Clear,Highway,Afternoon,2.0,100.0,5.0,0.0,None,Dry,Car,48.0,34.0,Daylight,0.0
Rainy,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Car,54.0,40.0,Daylight,0.0
Rainy,Mountain Road,Afternoon,1.0,50.0,2.0,0.0,Low,Dry,Car,41.0,24.0,Daylight,1.0
Clear,Highway,Afternoon,0.0,80.0,2.0,0.0,None,Dry,Car,41.0,21.0,Daylight,0.0
Stormy,City Road,Evening,2.0,50.0,5.0,0.0,None,Under Construction,Car,63.0,45.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,60.0,6.0,0.0,Low,Under Construction,Car,74.0,56.0,Daylight,1.0
Clear,City Road,Morning,2.0,50.0,5.0,0.0,None,Dry,Car,50.0,32.0,Daylight,0.0
Rainy,Highway,Evening,2.0,80.0,8.0,0.0,None,Wet,Motorcycle,64.0,45.0,Artificial Light,0.0
Snowy,Mountain Road,Afternoon,0.0,30.0,1.0,0.0,None,Icy,Bus,35.0,16.0,Daylight,0.0
Stormy,Highway,Night,0.0,120.0,2.0,0.0,None,Wet,Car,60.0,47.0,Artificial Light,0.0
Rainy,Highway,Afternoon,2.0,120.0,5.0,0.0,None,Dry,Car,48.0,34.0,Daylight,0.0
Clear,City Road,Evening,1.0,30.0,4.0,0.0,None,Dry,Car,24.0,6.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,30.0,3.0,0.0,None,Wet,Car,65.0,49.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,None,Dry,Truck,40.0,28.0,Daylight,0.0
Clear,Highway,Evening,2.0,100.0,8.0,0.0,None,Dry,Car,64.0,44.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,60.0,2.0,0.0,Low,Under Construction,Motorcycle,43.0,23.0,Daylight,1.0
Clear,Highway,Morning,2.0,120.0,5.0,0.0,Moderate,Dry,Bus,61.0,48.0,Daylight,1.0
Foggy,Highway,Afternoon,0.0,120.0,7.0,0.0,None,Dry,Car,47.0,33.0,Daylight,0.0
Clear,Highway,Evening,2.0,80.0,6.0,0.0,None,Dry,Car,45.0,29.0,Artificial Light,0.0
Foggy,City Road,Evening,2.0,50.0,6.0,0.0,Moderate,Dry,Car,69.0,49.0,Artificial Light,1.0
Foggy,Highway,Afternoon,1.0,100.0,4.0,0.0,None,Dry,Motorcycle,27.0,6.0,Daylight,0.0
Clear,Rural Road,Night,0.0,50.0,1.0,0.0,None,Dry,Car,26.0,9.0,No Light,0.0
Foggy,Highway,Evening,1.0,80.0,6.0,0.0,Low,Under Construction,Motorcycle,52.0,33.0,Daylight,1.0
Rainy,City Road,Morning,2.0,50.0,4.0,0.0,None,Wet,Truck,35.0,13.0,Daylight,0.0
Snowy,City Road,Night,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,30.0,13.0,Artificial Light,0.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,None,Dry,Car,58.0,41.0,Daylight,0.0
Rainy,Highway,Afternoon,2.0,100.0,5.0,1.0,High,Wet,Car,46.0,21.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,50.0,2.0,0.0,None,Wet,Car,38.0,21.0,Daylight,0.0
Rainy,Mountain Road,Morning,2.0,30.0,7.0,0.0,None,Wet,Car,53.0,30.0,Daylight,0.0
Stormy,Highway,Evening,1.0,100.0,6.0,0.0,Low,Under Construction,Car,52.0,29.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,1.0,60.0,2.0,0.0,None,Dry,Car,27.0,16.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,6.0,0.0,Low,Dry,Truck,73.0,51.0,Artificial Light,1.0
Rainy,Rural Road,Afternoon,0.0,60.0,4.0,0.0,None,Under Construction,Car,44.0,29.0,Daylight,0.0
Foggy,City Road,Afternoon,2.0,50.0,7.0,0.0,None,Dry,Car,45.0,24.0,Daylight,0.0
Rainy,Highway,Morning,2.0,80.0,5.0,0.0,None,Wet,Motorcycle,37.0,18.0,Daylight,0.0
Foggy,Highway,Evening,1.0,100.0,4.0,0.0,None,Dry,Car,36.0,21.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,120.0,8.0,0.0,None,Dry,Motorcycle,27.0,1.0,Artificial Light,0.0
Rainy,City Road,Afternoon,1.0,50.0,3.0,0.0,Moderate,Wet,Car,30.0,7.0,Daylight,1.0
Clear,Highway,Afternoon,1.0,80.0,3.0,1.0,None,Dry,Car,44.0,21.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Dry,Car,58.0,47.0,Daylight,0.0
Snowy,Highway,Night,0.0,120.0,3.0,1.0,None,Icy,Bus,72.0,53.0,Artificial Light,0.0
Clear,City Road,Morning,2.0,60.0,6.0,0.0,Low,Dry,Car,65.0,45.0,Daylight,1.0
Clear,Highway,Evening,2.0,100.0,6.0,0.0,None,Dry,Car,45.0,31.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,100.0,8.0,0.0,None,Dry,Truck,35.0,17.0,Artificial Light,0.0
Clear,City Road,Evening,1.0,60.0,4.0,0.0,None,Dry,Car,32.0,15.0,Daylight,0.0
Stormy,City Road,Evening,1.0,60.0,4.0,0.0,Moderate,Wet,Car,45.0,27.0,Artificial Light,1.0
Stormy,City Road,Afternoon,1.0,30.0,2.0,0.0,Low,Wet,Motorcycle,39.0,20.0,Daylight,1.0
Clear,Rural Road,Afternoon,0.0,50.0,4.0,0.0,None,Dry,Car,57.0,37.0,Daylight,0.0
Rainy,City Road,Morning,2.0,60.0,4.0,0.0,Low,Under Construction,Motorcycle,26.0,7.0,Daylight,1.0
Foggy,Highway,Night,1.0,100.0,4.0,0.0,None,Dry,Car,75.0,58.0,No Light,0.0
Foggy,Rural Road,Afternoon,0.0,80.0,4.0,0.0,None,Wet,Bus,37.0,15.0,Daylight,0.0
Snowy,City Road,Morning,0.0,50.0,2.0,0.0,None,Wet,Car,54.0,41.0,Daylight,0.0
Rainy,Highway,Night,1.0,100.0,3.0,0.0,None,Wet,Car,41.0,25.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Car,65.0,45.0,Daylight,0.0
Rainy,Rural Road,Evening,1.0,80.0,3.0,0.0,None,Wet,Truck,50.0,31.0,Artificial Light,0.0
Rainy,Highway,Evening,1.0,100.0,4.0,0.0,None,Wet,Motorcycle,40.0,20.0,Artificial Light,0.0
Stormy,Highway,Evening,2.0,120.0,6.0,0.0,None,Wet,Car,44.0,26.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,100.0,5.0,0.0,None,Dry,Truck,64.0,49.0,Daylight,0.0
Clear,Rural Road,Evening,0.0,80.0,4.0,1.0,None,Dry,Motorcycle,39.0,17.0,No Light,0.0
Clear,Highway,Afternoon,1.0,120.0,5.0,0.0,None,Dry,Car,69.0,51.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,120.0,5.0,0.0,None,Dry,Car,47.0,33.0,Daylight,0.0
Stormy,Highway,Evening,2.0,120.0,6.0,0.0,Low,Wet,Car,27.0,9.0,Artificial Light,1.0
Clear,Highway,Night,1.0,100.0,4.0,0.0,None,Dry,Car,57.0,40.0,Artificial Light,0.0
Stormy,City Road,Evening,2.0,60.0,5.0,0.0,Low,Under Construction,Car,52.0,29.0,Artificial Light,1.0
Clear,Mountain Road,Morning,1.0,30.0,5.0,0.0,None,Dry,Car,38.0,16.0,Daylight,0.0
Snowy,Rural Road,Afternoon,0.0,80.0,5.0,0.0,Moderate,Icy,Car,36.0,17.0,Daylight,1.0
Foggy,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Car,19.0,6.0,Daylight,0.0
Foggy,Highway,Night,1.0,100.0,4.0,1.0,None,Dry,Car,30.0,11.0,Artificial Light,0.0
Rainy,City Road,Afternoon,2.0,50.0,6.0,0.0,Low,Wet,Car,19.0,8.0,Daylight,1.0
Foggy,Rural Road,Evening,0.0,80.0,2.0,0.0,Moderate,Dry,Truck,45.0,26.0,No Light,1.0
Clear,City Road,Evening,2.0,50.0,5.0,0.0,Low,Under Construction,Car,55.0,45.0,Daylight,1.0
Foggy,Rural Road,Morning,1.0,60.0,3.0,0.0,None,Dry,Car,50.0,30.0,Daylight,0.0
Snowy,City Road,Night,2.0,60.0,6.0,1.0,Low,Icy,Motorcycle,70.0,52.0,Artificial Light,1.0
Rainy,City Road,Night,2.0,50.0,5.0,0.0,Low,Wet,Car,35.0,12.0,Artificial Light,1.0
Rainy,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Car,20.0,0.0,Daylight,0.0
Stormy,Highway,Afternoon,1.0,100.0,5.0,0.0,Moderate,Wet,Car,63.0,50.0,Daylight,1.0
Clear,Rural Road,Evening,1.0,60.0,3.0,0.0,None,Dry,Car,50.0,38.0,No Light,0.0
Foggy,City Road,Evening,1.0,30.0,3.0,0.0,None,Wet,Truck,31.0,18.0,Daylight,0.0
Stormy,Mountain Road,Afternoon,1.0,50.0,3.0,0.0,None,Icy,Car,34.0,15.0,Daylight,0.0
Clear,City Road,Morning,2.0,50.0,4.0,0.0,None,Dry,Truck,35.0,18.0,Daylight,0.0
Rainy,City Road,Evening,2.0,50.0,5.0,0.0,None,Wet,Car,38.0,21.0,Daylight,0.0
Foggy,Rural Road,Afternoon,1.0,60.0,2.0,0.0,None,Wet,Car,59.0,46.0,Daylight,0.0
Clear,City Road,Evening,2.0,60.0,7.0,0.0,Low,Dry,Motorcycle,23.0,10.0,Artificial Light,1.0
Stormy,Rural Road,Evening,1.0,80.0,4.0,0.0,None,Wet,Car,73.0,46.0,No Light,0.0
Stormy,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Under Construction,Car,75.0,58.0,Daylight,0.0
Clear,Highway,Night,2.0,120.0,5.0,1.0,Low,Dry,Car,50.0,31.0,Artificial Light,1.0
Rainy,Highway,Afternoon,2.0,120.0,6.0,0.0,None,Wet,Car,51.0,31.0,Daylight,0.0
Foggy,City Road,Evening,2.0,30.0,5.0,0.0,None,Dry,Car,30.0,15.0,Artificial Light,0.0
Rainy,Mountain Road,Evening,0.0,30.0,2.0,0.0,None,Wet,Car,39.0,24.0,No Light,0.0
Stormy,Rural Road,Evening,1.0,80.0,4.0,0.0,None,Under Construction,Car,61.0,37.0,No Light,0.0
Clear,City Road,Morning,2.0,50.0,6.0,0.0,None,Under Construction,Truck,23.0,14.0,Daylight,0.0
Stormy,Rural Road,Afternoon,0.0,60.0,1.0,0.0,None,Under Construction,Motorcycle,42.0,27.0,Daylight,0.0
Clear,City Road,Morning,0.0,30.0,3.0,0.0,None,Dry,Motorcycle,71.0,57.0,Daylight,0.0
Clear,Rural Road,Night,1.0,50.0,4.0,0.0,None,Wet,Car,45.0,29.0,No Light,0.0
Foggy,Highway,Afternoon,2.0,80.0,8.0,0.0,Moderate,Wet,Car,29.0,11.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,120.0,9.0,0.0,None,Dry,Car,44.0,35.0,Daylight,0.0
Rainy,City Road,Night,1.0,30.0,4.0,0.0,None,Dry,Car,58.0,36.0,Artificial Light,0.0
Clear,Mountain Road,Evening,1.0,30.0,3.0,0.0,None,Dry,Car,75.0,58.0,Artificial Light,0.0
Clear,Highway,Morning,2.0,80.0,7.0,0.0,None,Dry,Motorcycle,33.0,11.0,Daylight,0.0
Foggy,Highway,Afternoon,2.0,100.0,5.0,0.0,None,Dry,Car,51.0,34.0,Daylight,0.0
Snowy,City Road,Evening,2.0,60.0,5.0,0.0,None,Icy,Car,28.0,5.0,Artificial Light,0.0
Rainy,City Road,Morning,1.0,30.0,3.0,0.0,None,Wet,Truck,32.0,10.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,4.0,0.0,None,Dry,Truck,52.0,36.0,Daylight,0.0
Rainy,City Road,Morning,2.0,60.0,4.0,0.0,None,Wet,Car,18.0,0.0,Daylight,0.0
Snowy,Highway,Afternoon,1.0,80.0,4.0,0.0,Low,Icy,Car,52.0,32.0,Daylight,1.0
Snowy,City Road,Morning,1.0,30.0,3.0,0.0,Low,Icy,Car,35.0,9.0,Daylight,1.0
Foggy,Mountain Road,Afternoon,1.0,60.0,2.0,0.0,None,Dry,Car,23.0,12.0,Daylight,0.0
Snowy,City Road,Night,1.0,30.0,2.0,1.0,None,Dry,Car,43.0,27.0,Artificial Light,0.0
Rainy,Rural Road,Evening,1.0,60.0,3.0,0.0,None,Wet,Car,26.0,12.0,No Light,0.0
Clear,Highway,Afternoon,1.0,120.0,6.0,0.0,None,Dry,Motorcycle,24.0,4.0,Daylight,0.0
Snowy,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Icy,Car,52.0,38.0,Daylight,0.0
Clear,City Road,Morning,1.0,50.0,4.0,0.0,None,Dry,Car,58.0,43.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,60.0,6.0,0.0,Low,Dry,Truck,43.0,24.0,Daylight,1.0
Clear,City Road,Morning,2.0,60.0,5.0,0.0,None,Wet,Bus,62.0,50.0,Daylight,0.0
Stormy,Highway,Evening,1.0,120.0,4.0,0.0,Moderate,Wet,Car,72.0,53.0,Daylight,1.0
Clear,Rural Road,Afternoon,0.0,50.0,1.0,0.0,None,Dry,Car,29.0,8.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,5.0,0.0,None,Dry,Car,34.0,16.0,Daylight,0.0
Clear,City Road,Night,1.0,30.0,2.0,0.0,None,Dry,Car,56.0,37.0,Artificial Light,0.0
Rainy,Highway,Morning,2.0,100.0,5.0,0.0,None,Wet,Car,37.0,18.0,Daylight,0.0
Foggy,City Road,Morning,2.0,50.0,4.0,0.0,Low,Wet,Car,68.0,43.0,Daylight,1.0
Rainy,City Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Motorcycle,48.0,27.0,Daylight,0.0
Clear,City Road,Afternoon,0.0,50.0,2.0,0.0,None,Wet,Truck,62.0,46.0,Daylight,0.0
Clear,Highway,Night,0.0,120.0,4.0,0.0,Moderate,Dry,Car,75.0,58.0,Artificial Light,1.0
Rainy,Rural Road,Morning,1.0,60.0,4.0,0.0,None,Wet,Car,23.0,5.0,Daylight,0.0
Foggy,City Road,Night,0.0,50.0,1.0,0.0,None,Under Construction,Car,45.0,24.0,Artificial Light,0.0
Snowy,Rural Road,Afternoon,0.0,80.0,2.0,0.0,None,Icy,Car,52.0,39.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.0,None,Wet,Car,41.0,20.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,None,Under Construction,Car,67.0,48.0,Daylight,0.0
Snowy,Highway,Evening,1.0,120.0,4.0,0.0,None,Icy,Car,55.0,39.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,100.0,7.0,0.0,None,Dry,Truck,44.0,26.0,Daylight,0.0
Stormy,City Road,Morning,2.0,50.0,5.0,0.0,None,Wet,Truck,70.0,51.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,120.0,3.0,0.0,None,Dry,Car,30.0,17.0,Daylight,0.0
Snowy,Highway,Evening,1.0,100.0,4.0,0.0,None,Dry,Bus,44.0,27.0,Daylight,0.0
Clear,Rural Road,Night,0.0,60.0,2.0,1.0,None,Dry,Car,45.0,26.0,No Light,0.0
Clear,City Road,Afternoon,2.0,50.0,4.0,0.0,None,Dry,Car,49.0,28.0,Daylight,0.0
